1,Company-Public Limited
2,Company-Deemed Public Limited
3,Coopertaive Housing Society
4,Trust-Public
5,Trust-Private
6,Partnership Firm
7,Association of Persons
8,Sole properitor
9,Cooperative Society-Deposit Accepting
10,Coopertaive Society-Non Deposit Accepting
11,Limited Liability Partnerships ( LLP)
12,Company-Private Limited-Limited by Shares
13,Company-Private Limited-Limited by gurantee
14,Company-Private Limited-Unlimited
15,Hindu Undivided Family-HUF
16,Individual
